# Video data for LastWeekTonight (UC3XTzVzaHQEd30rQbuvCtTQ)
# id;publishedAt;title
zNdkrtfZP8I;2016-07-25T06:30:00.000Z;Republican National Convention: Last Week Tonight with John Oliver (HBO)
voxfqkrO5ww;2016-07-18T03:00:30.000Z;Endorsements (Web Exclusive): Last Week Tonight with John Oliver (HBO)
cQtYlkwR8lM;2016-07-11T03:00:00.000Z;Fan Mail Vol. 2 (Web Exclusive): Last Week Tonight with John Oliver (HBO)
nh0ac5HUpDU;2016-06-28T00:43:56.000Z;Brexit Update: Last Week Tonight With John Oliver (HBO)
BgyqAD5Z6_A;2016-06-27T06:30:00.000Z;Doping: Last Week Tonight with John Oliver (HBO)
IQwMCQFgQgo;2016-07-04T03:00:00.000Z;Independence Day (Web Exclusive): Last Week Tonight with John Oliver (HBO)
iAgKHSNqxa8;2016-06-20T06:30:00.000Z;Brexit: Last Week Tonight with John Oliver (HBO)
gvZSpET11ZY;2016-06-13T06:30:00.000Z;Retirement Plans: Last Week Tonight with John Oliver (HBO)
hxUAntt1z2c;2016-06-06T06:30:00.000Z;Debt Buyers: Last Week Tonight with John Oliver (HBO)
_S2G8jhhUHg;2016-05-23T06:30:01.000Z;Primaries and Caucuses: Last Week Tonight with John Oliver (HBO)
NcA_j23HuDU;2016-05-30T03:00:01.000Z;How Is This Not A Thing? (Web Exclusive): Last Week Tonight with John Oliver (HBO)
A-XlyB_QQYs;2016-05-16T06:30:02.000Z;911: Last Week Tonight with John Oliver (HBO)
0Rnq1NpHdmw;2016-05-09T06:30:00.000Z;Scientific Studies: Last Week Tonight with John Oliver (HBO)
o5E7cG54VoA;2016-05-02T03:00:01.000Z;Cicadas (Web Exclusive): Last Week Tonight with John Oliver (HBO)
Tt-mpuR_QHQ;2016-04-25T06:30:01.000Z;Puerto Rico: Last Week Tonight with John Oliver (HBO)
GUizvEjR-0U;2016-04-18T06:30:06.000Z;Lead: Last Week Tonight with John Oliver (HBO)
aRrDsbUdY_k;2016-04-11T06:30:04.000Z;Credit Reports: Last Week Tonight with John Oliver (HBO)
Ylomy1Aw9Hk;2016-04-04T06:30:00.000Z;Congressional Fundraising: Last Week Tonight with John Oliver (HBO)
vU8dCYocuyI;2016-03-21T06:30:00.000Z;Border Wall: Last Week Tonight with John Oliver (HBO)
fNS4lecOaAc;2016-03-28T03:00:00.000Z;Conspiracies (Web Exclusive): Last Week Tonight with John Oliver (HBO)
dNV7COWz8ME;2016-03-15T20:50:37.000Z;International Women's Day: Last Week Tonight with John Oliver (HBO)
zsjZ2r9Ygzw;2016-03-14T06:30:00.000Z;Encryption: Last Week Tonight with John Oliver (HBO)
3saU5racsGE;2016-03-07T07:30:00.000Z;Special Districts: Last Week Tonight with John Oliver (HBO)
DnpO_RTSNmQ;2016-02-29T07:30:30.000Z;Donald Trump: Last Week Tonight with John Oliver (HBO)
XebG4TO_xss;2016-02-23T21:25:52.000Z;Whitewashing: Last Week Tonight with John Oliver (HBO)
DRauXXz6t0Y;2016-02-22T07:30:00.000Z;Abortion Laws: Last Week Tonight with John Oliver (HBO)
rHFOwlMCdto;2016-02-15T07:30:00.000Z;Voting: Last Week Tonight with John Oliver (HBO)
f0X-8tSgiuA;2016-01-15T18:00:02.000Z;Season 3: Promo: Last Week Tonight with John Oliver (HBO)
DgOgdGpWqzQ;2016-01-25T04:00:01.000Z;Lost Graphics Vol. 2 (Web Exclusive): Last Week Tonight with John Oliver (HBO)
pxM3tvHowaM;2016-01-04T04:00:00.000Z;Revised Resolutions (Web Exclusive): Last Week Tonight with John Oliver (HBO)
GjatG8QFoOk;2015-12-14T04:00:00.000Z;Regifting (Web Exclusive): Last Week Tonight with John Oliver (HBO)
_tyszHg96KI;2015-11-23T07:30:00.000Z;Pennies: Last Week Tonight with John Oliver (HBO)
Mq785nJ0FXQ;2015-11-16T07:30:01.000Z;Daily Fantasy Sports: Last Week Tonight with John Oliver (HBO)
gJtYRxH5G2k;2015-11-09T07:30:01.000Z;Prisoner Re-entry: Last Week Tonight with John Oliver (HBO)
5d3nASKtGas;2015-11-02T07:30:00.000Z;Medicaid Gap: Last Week Tonight with John Oliver (HBO)
0V5ckcTSYu8;2015-10-19T06:30:00.000Z;Canadian Election: Last Week Tonight with John Oliver (HBO)
jYusNNldesc;2015-10-12T06:30:01.000Z;North Dakota: Last Week Tonight with John Oliver (HBO)
NGY6DqB1HX8;2015-10-05T06:30:01.000Z;Mental Health: Last Week Tonight with John Oliver (HBO)
umqvYhb3wf4;2015-09-28T12:20:32.000Z;Migrants and Refugees: Last Week Tonight with John Oliver (HBO)
USkEzLuzmZ4;2015-09-14T06:30:31.000Z;Public Defenders: Last Week Tonight with John Oliver (HBO)
5d667Bb_iYA;2015-08-24T06:30:01.000Z;LGBT Discrimination: Last Week Tonight with John Oliver (HBO)
ACwenVzN2oU;2015-08-31T02:54:29.000Z;History Lies (Web Exclusive): Last Week Tonight with John Oliver (HBO)
CQ2noSR1qdY;2015-09-07T03:00:03.000Z;Back To School (Web Exclusive): Last Week Tonight with John Oliver (HBO)
7y1xJAVZxXg;2015-08-17T06:30:01.000Z;Televangelists: Last Week Tonight with John Oliver (HBO)
L0jQz6jqQS0;2015-08-10T06:30:00.000Z;Sex Education: Last Week Tonight with John Oliver (HBO)
4Z4j2CrJRn4;2015-08-03T06:30:01.000Z;Washington DC Statehood: Last Week Tonight with John Oliver (HBO)
pDVmldTurqk;2015-07-27T06:30:00.000Z;Mandatory Minimums: Last Week Tonight with John Oliver (HBO)
i8xwLWb0lLY;2015-07-20T06:30:01.000Z;Food Waste: Last Week Tonight with John Oliver (HBO)
xcwJt4bcnXs;2015-07-13T06:30:01.000Z;Stadiums: Last Week Tonight with John Oliver (HBO)
hmoAX9f6MOc;2015-06-29T06:30:01.000Z;Transgender Rights: Last Week Tonight with John Oliver (HBO)
U2WlQZf9zSg;2015-06-29T06:30:01.000Z;Leap Second: Last Week Tonight with John Oliver (HBO)
Pk2oW4SDDxY;2015-07-06T02:57:07.000Z;Shallow Dives (Web Exclusive): Last Week Tonight with John Oliver (HBO)
EjpJqcM3X94;2015-06-29T06:30:02.000Z;People Prematurely Declaring The End of Obamacare: Last Week Tonight with John Oliver (HBO)
PuNIwYsz7PI;2015-06-22T06:30:00.000Z;Online Harassment: Last Week Tonight with John Oliver (HBO)
zmeF2rzsZSU;2015-06-15T06:30:00.000Z;Torture: Last Week Tonight with John Oliver (HBO)
IS5mwymTIJU;2015-06-08T06:30:01.000Z;Bail: Last Week Tonight with John Oliver (HBO)
qr6ar3xJL_Q;2015-06-01T12:46:49.000Z;FIFA II: Last Week Tonight with John Oliver (HBO)
X9wHzt6gBgI;2015-05-18T06:30:01.000Z;Chickens: Last Week Tonight with John Oliver (HBO)
W_gRZcI1lto;2015-05-25T03:00:00.000Z;Lost Graphics (Web Exclusive): Last Week Tonight with John Oliver (HBO)
zIhKAQX5izw;2015-05-11T06:30:01.000Z;Paid Family Leave: Last Week Tonight with John Oliver (HBO)
J6lyURyVz7k;2015-05-04T06:30:00.000Z;Standardized Testing: Last Week Tonight with John Oliver (HBO)
VdLf4fihP78;2015-04-27T06:30:00.000Z;Fashion: Last Week Tonight with John Oliver (HBO)
UC_gXD5OE88;2015-04-20T06:30:01.000Z;Doomsday Video: Last Week Tonight with John Oliver (HBO)
3bxcc3SM_KA;2015-04-20T06:30:00.000Z;Patents: Last Week Tonight with John Oliver (HBO)
Nn_Zln_4pA8;2015-04-13T06:30:01.000Z;The IRS: Last Week Tonight with John Oliver (HBO)
yzGzB-yYKcc;2015-04-09T15:21:18.000Z;Edward Snowden on Passwords: Last Week Tonight with John Oliver (HBO)
fesi92d1p68;2015-04-07T16:02:28.000Z;HBO NOW: Last Week Tonight with John Oliver (HBO)
XEVlyP4_11M;2015-04-06T06:30:01.000Z;Government Surveillance: Last Week Tonight with John Oliver (HBO)
uiN_-AEhTpk;2015-04-02T14:48:36.000Z;Red-Tailed Hawks: Last Week Tonight with John Oliver (HBO)
0UjpmT5noto;2015-03-23T06:30:01.000Z;Municipal Violations: Last Week Tonight with John Oliver (HBO)
kXYXuXX48m8;2015-03-30T02:30:01.000Z;April Fools' Day (Web Exclusive): Last Week Tonight with John Oliver (HBO)
pX8BXH3SJn0;2015-03-16T06:30:01.000Z;The NCAA: Last Week Tonight with John Oliver (HBO)
CesHr99ezWE;2015-03-09T06:30:00.000Z;U.S. Territories: Last Week Tonight with John Oliver (HBO)
br0NW9ufUUw;2015-03-09T06:30:01.000Z;Daylight Saving Time - How Is This Still A Thing?: Last Week Tonight with John Oliver (HBO)
Wpzvaqypav8;2015-03-02T12:24:57.000Z;Infrastructure: Last Week Tonight with John Oliver (HBO)
2sWRXr2Yu9g;2015-02-23T07:31:00.000Z;UK Labour Party: Last Week Tonight with John Oliver (HBO)
poL7l-Uk3I8;2015-02-23T14:25:31.000Z;Elected Judges: Last Week Tonight with John Oliver (HBO)
6UsHHOCH4q8;2015-02-16T07:30:00.000Z;Tobacco: Last Week Tonight with John Oliver (HBO)
l8QNDRbjong;2015-02-16T07:30:00.000Z;Sports Illustrated Swimsuit Issue - How Is This Still a Thing?: Last Week Tonight with John Oliver
3FCioWz7aps;2015-02-09T07:30:00.000Z;Goodbye, RadioShack: Last Week Tonight with John Oliver (HBO)
YQZ2UeOTO3I;2015-02-09T07:30:01.000Z;Marketing to Doctors: Last Week Tonight with John Oliver (HBO)
2bbskco60g4;2015-02-04T21:22:50.000Z;Season 2: Digital Promo: Last Week Tonight with John Oliver (HBO)
fPloDzu_wcI;2015-01-26T03:57:17.000Z;Fifty Shades #NotMyChristian Apology (Web Exclusive): Last Week Tonight with John Oliver (HBO)
P1EtSBxm0S4;2015-01-09T19:13:14.000Z;Season 2 Promo: Last Week Tonight with John Oliver (HBO)
eAFnby2184o;2014-12-29T14:50:13.000Z;New Year's Eve (Web Exclusive): Last Week Tonight with John Oliver (HBO)
X8Buy2X0kFo;2014-11-24T03:30:00.000Z;Turkey Pardoning (Web Exclusive): Last Week Tonight with John Oliver (HBO)
l9qA8c-E_oA;2014-11-10T07:30:01.000Z;Salmon Cannon: Last Week Tonight with John Oliver (HBO)
9PK-netuhHA;2014-11-10T07:30:01.000Z;The Lottery: Last Week Tonight with John Oliver (HBO)
x3Md3O_XfoI;2014-11-03T17:31:03.000Z;Finale Preview: Last Week Tonight with John Oliver (HBO)
boI4D1FlIVs;2014-11-03T07:30:00.000Z;Home Depot Commercial: Last Week Tonight with John Oliver (HBO)
aIMgfBZrrZ8;2014-11-03T07:30:00.000Z;State Legislatures and ALEC: Last Week Tonight with John Oliver (HBO)
XXCbffp7jLM;2014-11-03T01:53:28.000Z;1,000,000 YouTube Subscribers (Web Exclusive): Last Week Tonight with John Oliver
MepXBJjsNxs;2014-10-27T06:30:00.000Z;Sugar: Last Week Tonight with John Oliver (HBO)
izUzqUrhbh0;2014-10-27T06:30:00.000Z;Dr. Jane Goodall Interview: Last Week Tonight with John Oliver (HBO)
QplQL5eAxlY;2014-10-20T06:30:02.000Z;Translators: Last Week Tonight with John Oliver (HBO)
fJ9prhPV2PI;2014-10-20T06:30:01.000Z;Supreme Court: Last Week Tonight with John Oliver (HBO)
tug71xZL7yc;2014-10-20T03:26:09.000Z;Real Animals, Fake Paws Footage: Last Week Tonight with John Oliver (HBO)
eKEwL-10s7E;2014-10-13T13:00:14.000Z;Columbus Day - How Is This Still A Thing: Last Week Tonight with John Oliver (HBO)
DeQqe0oj5Ls;2014-10-13T02:30:01.000Z;Pumpkin Spice (Web Exclusive): Last Week Tonight with John Oliver (HBO)
3kEpZWGgJks;2014-10-06T06:30:02.000Z;Civil Forfeiture: Last Week Tonight with John Oliver (HBO)
ResvfWhi3k8;2014-10-06T06:30:02.000Z;Jeff Goldblum Outtakes: Last Week Tonight with John Oliver (HBO)
_8m8cQI4DgM;2014-10-09T15:30:58.000Z;Ayn Rand - How Is This Still A Thing?: Last Week Tonight with John Oliver (HBO)
K4NRJoCNHIs;2014-09-29T06:30:01.000Z;Drones: Last Week Tonight with John Oliver (HBO)
hkYzuHMcP64;2014-09-29T06:30:00.000Z;Narendra Modi In New York: Last Week Tonight with John Oliver (HBO)
xM8qVuc32Rc;2014-09-22T06:30:01.000Z;Roger Goodell (Extended Web Exclusive): Last Week Tonight with John Oliver (HBO)
